"PPLOT","ht_mean","ht_med","ht_dev","dbh_mean","dbh_med","dbh_dev","cod","dom","count","time"
17,18.3283333333333,18.99,1.94415448631704,27.9666666666667,23.1,11.8924625989181,6,0,6,10
18,NA,NA,NA,NA,NA,NA,0,0,0,86
18,11.47,11.25,1.82516361519241,14.65,11.9,5.60322327871299,9,1,10,87
18,13.4852100463333,13.4,1.42339140159287,20.2818181818182,19,4.74212864554612,27,6,33,98
18,11.4242857142857,10.92,2.31299846622558,20.4142857142857,19.3,8.1401123193374,7,0,7,10
19,NA,NA,NA,NA,NA,NA,0,0,0,86
19,10.975,11.05,0.57373048260195,19.5,19.5,2.20454076850486,4,0,4,87
19,12.9282051282051,12.8,1.3703531465607,19.4846153846154,18.6,5.80759658874924,32,7,39,98
19,12.7971428571429,12.91,1.89638001013962,20.6857142857143,19.9,5.57895706245907,7,0,7,10
20,NA,NA,NA,NA,NA,NA,0,0,0,86
20,11.2833333333333,11.05,1.07594919334821,19.2666666666667,17.45,5.90005649690464,6,0,6,87
20,13.1058823529412,13.1,1.81340817188546,20.85,19.25,5.47043015316036,29,5,34,98
20,14.925,15.06,0.430619708482244,20.4,19.35,3.20104149717973,4,0,4,10
21,NA,NA,NA,NA,NA,NA,0,0,0,86
21,13.8,15.1,3.15753068076939,23.8,26,6.86949779823824,1,2,3,87
21,14.248307584963,14.4,1.93243547530648,22.6148148148148,20.9,5.67455208016821,19,8,27,98
21,11.992,13.6,3.24488366509494,20.86,20.1,6.90166646542703,4,1,5,10
22,NA,NA,NA,NA,NA,NA,0,0,0,86
22,14.8,14.05,2.24410338442773,26.2166666666667,24.6,6.40575262296841,0,6,6,87
22,12.2521739130435,11.5,2.73593420395657,21.104347826087,21,6.22293983878634,15,8,23,98
22,13.3277777777778,12.48,2.58863273649323,24.2111111111111,21.8,7.79157308321696,7,2,9,10
23,NA,NA,NA,NA,NA,NA,0,0,0,86
23,14.8,14.75,2.31948270094864,26.45,26.15,5.39166022668343,2,2,4,87
23,11.5166666666667,11.15,2.9015238375223,21.9541666666667,21.7,6.32867725493262,18,6,24,98
23,13.2266666666667,13.3,2.00175589587409,22.1666666666667,23.15,2.20333081189972,6,0,6,10
24,NA,NA,NA,NA,NA,NA,0,0,0,86
24,12.34,13,1.47580486514986,23.58,20.2,7.54665488809446,4,1,5,87
24,12.3384615384615,12.6,2.01952012578769,17.4,16.55,5.553665456255,21,5,26,98
24,10.9275,10.64,1.51634154024305,17.05,17.9,5.39783907380228,2,2,4,10
25,NA,NA,NA,NA,NA,NA,0,0,0,86
25,5.725,5.75,0.170782512765993,8.7,8.7,0.439696865275764,4,0,4,87
25,8.00215053763441,7.8,1.19154434815236,11.8516129032258,11,4.08586143605168,80,13,93,98
25,8.83904761904762,8.71,1.38798020433256,13.9142857142857,13.3,3.72200023029093,17,4,21,10
26,NA,NA,NA,NA,NA,NA,0,0,0,86
26,10.925,11.5,1.72108769594779,19.5875,19.6,4.59205447329562,3,5,8,87
26,10.8033333333333,10.2,1.8227458130114,20.33,20.4,5.30108316843083,22,8,30,98
26,10.405,10.34,1.62084854320199,21.4333333333333,19.75,6.82720049996092,5,1,6,10
27,NA,NA,NA,NA,NA,NA,0,0,0,86
27,10.95,11.5,1.33229125944742,18.95,18.2,5.71025393480885,6,0,6,87
27,11.7346153846154,11.7,1.68616542668679,21.3153846153846,21.35,4.76098244547844,20,6,26,98
27,11.5716666666667,10.945,1.69042499587135,25.7,26.15,4.07774447458396,6,0,6,10
