"PPLOT","SPLOT","ht_mean","ht_med","ht_dev","dbh_mean","dbh_med","dbh_dev","cod","dom","count","time"
13,2,7.19090909090909,6.9,1.20313443452196,11.2363636363636,10.8,3.03417760953998,15,7,22,98
13,2,7.94222222222222,7.62,1.22233891302726,13.4333333333333,12.95,3.17693896329007,16,2,18,10
13,3,6.9875,6.71,1.18925716676237,11.475,11.25,2.96490340043534,21,3,24,86
13,3,NA,NA,NA,NA,NA,NA,0,0,0,87
13,3,7.40869565217391,7.2,1.19845091054254,12,11.4,3.29310574603147,19,4,23,98
13,3,NA,NA,NA,NA,NA,NA,0,0,0,10
13,4,5.61333333333333,5.66,1.16848192112672,8.74888888888889,8.1,2.82421527493779,27,18,45,86
13,4,NA,NA,NA,NA,NA,NA,0,0,0,87
13,4,6.772,6.6,0.903935838431025,10.896,9.7,2.62622669750094,18,7,25,98
13,4,NA,NA,NA,NA,NA,NA,0,0,0,10
14,1,NA,NA,NA,NA,NA,NA,0,0,0,86
14,1,NA,NA,NA,NA,NA,NA,0,0,0,87
14,1,7.65384615384615,7.9,1.2920367542601,12.9923076923077,11.8,2.98034157395355,7,6,13,98
14,1,NA,NA,NA,NA,NA,NA,0,0,0,10
14,2,5.704,5.57,0.453795107950714,9.62,9.1,1.46867287031524,5,0,5,86
14,2,NA,NA,NA,NA,NA,NA,0,0,0,87
14,2,7.90434782608696,8.2,1.23967673970771,12.9130434782609,12.2,2.8648820930563,21,2,23,98
14,2,8.72473684210526,8.55,1.51691707977087,14.5736842105263,12.9,3.47816076959954,19,0,19,10
14,3,NA,NA,NA,NA,NA,NA,0,0,0,86
14,3,NA,NA,NA,NA,NA,NA,0,0,0,87
14,3,7.85862068965517,7.6,0.932935934632212,12.3068965517241,12,2.26162568497005,27,2,29,98
14,3,NA,NA,NA,NA,NA,NA,0,0,0,10
14,4,NA,NA,NA,NA,NA,NA,0,0,0,86
14,4,NA,NA,NA,NA,NA,NA,0,0,0,87
14,4,6.67,6.7,0.920583339090235,11.545,10.7,2.29907876287324,15,5,20,98
14,4,NA,NA,NA,NA,NA,NA,0,0,0,10
